#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R4.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
2021/11/17 13:59:40,310000,0.505,0.130,0.513,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,320000,0.504,0.120,0.505,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,330000,0.514,0.125,0.511,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,340000,0.505,0.113,0.504,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,350000,0.510,0.132,0.508,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,360000,0.512,0.123,0.500,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,370000,0.513,0.114,0.505,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,380000,0.515,0.114,0.507,0.007,166.50,253.75,299.00,0.004
2021/11/17 13:59:40,390000,0.504,0.102,0.514,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,400000,0.506,0.115,0.505,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,410000,0.500,0.121,0.510,0.013,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,420000,0.501,0.111,0.509,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,430000,0.511,0.121,0.504,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,440000,0.507,0.123,0.507,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,450000,0.503,0.125,0.503,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,460000,0.503,0.111,0.507,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,470000,0.506,0.120,0.506,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,480000,0.507,0.115,0.505,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,490000,0.503,0.122,0.506,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,500000,0.503,0.114,0.505,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,510000,0.506,0.120,0.505,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,520000,0.501,0.122,0.511,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,530000,0.507,0.122,0.505,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,540000,0.500,0.110,0.512,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,550000,0.503,0.112,0.505,-0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,560000,0.508,0.131,0.504,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,570000,0.507,0.115,0.511,0.003,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,580000,0.510,0.123,0.510,0.007,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,590000,0.512,0.116,0.510,0.000,166.50,253.75,299.00,0.005
2021/11/17 13:59:40,600000,0.509,0.131,0.503,0.007,166.50,253.75,299.00,0.005
